concat(annotationID,' ',annotationURI)
79503 info:doi/10.1371/annotation/00d3619d-d087-49e0-a71e-74e9fd454818
87968 info:doi/10.1371/annotation/00d7ec0b-df05-46c9-8d5f-54d7bcb635ca
67 info:doi/10.1371/annotation/00db0b4f-b785-45ce-a403-b008939d38b2
87268 info:doi/10.1371/annotation/00e09d7c-c0de-4bb8-be05-ba66090c0008
83942 info:doi/10.1371/annotation/00e11cf7-a7f6-409f-a0f1-69ff0163d047
78491 info:doi/10.1371/annotation/00e2c1d5-600f-4a60-9d76-59be99c424bd
69 info:doi/10.1371/annotation/00e8337e-23c2-44a8-b13e-ee38a44efa76
61387 info:doi/10.1371/annotation/00e83d0b-4530-4a91-9a52-9d46ae860f18
71 info:doi/10.1371/annotation/00e9ae68-a737-44f1-9d10-ce0e9942cccc
73 info:doi/10.1371/annotation/00f495dd-8d0f-4bfa-82be-595855079618
75 info:doi/10.1371/annotation/00f91880-756e-4898-8111-3c3ca53aec5b
77 info:doi/10.1371/annotation/00f96f89-521e-495c-87e0-b232c4054077
54627 info:doi/10.1371/annotation/00fe9dda-7262-40f9-a934-67b9c6b2512d
79 info:doi/10.1371/annotation/0101a8a3-27bf-4b6f-97c0-2a6050713daf
81 info:doi/10.1371/annotation/01021c6b-ea04-4a21-9a4b-e7c3770cce7a
51509 info:doi/10.1371/annotation/01023a20-a270-4ae4-854a-5c4e046a2a34
84482 info:doi/10.1371/annotation/0109277a-593d-4fd8-ba16-f9b730871d8f
87781 info:doi/10.1371/annotation/01102c11-1b9a-49c9-a8a1-d071e2e38294
44121 info:doi/10.1371/annotation/01108cce-cf67-4cbf-bd06-4be8d0d93365
83 info:doi/10.1371/annotation/0111f376-1458-4c4c-8580-1c3f8295d91d
85 info:doi/10.1371/annotation/01124b8b-1c39-487a-8abc-d8db50fb5eb0
42103 info:doi/10.1371/annotation/0114f4c9-9ca8-4859-b47d-57785b160fbe
87 info:doi/10.1371/annotation/0117d3bd-8270-4f62-acb7-d9fabde6a9fc
60793 info:doi/10.1371/annotation/0124f9ef-9f17-4416-b1dd-69031676e913
89 info:doi/10.1371/annotation/0125686d-6009-4a88-8f54-2b6ef5f346b4
91 info:doi/10.1371/annotation/0126b481-3d7f-419c-8884-8ceb9fc7c0ee
61951 info:doi/10.1371/annotation/0128a0ca-cc9e-4c9d-99c5-899c5156a6a4
95 info:doi/10.1371/annotation/012df87e-7ce6-430c-a331-723dad238852
53395 info:doi/10.1371/annotation/01345b97-d943-43b4-8ff4-474cb5a904f0
76609 info:doi/10.1371/annotation/01351d12-338b-49c6-bb9e-417bbfe21a50
97 info:doi/10.1371/annotation/0139c900-7ef5-4a84-b0c0-d4f5b7e22306
80046 info:doi/10.1371/annotation/013db7d7-0024-457a-8bd7-47ae87050c9e
99 info:doi/10.1371/annotation/014021ef-ea60-4412-a34b-672c44e7428a
101 info:doi/10.1371/annotation/014198a8-f8df-407f-9307-3a448335fc92
69579 info:doi/10.1371/annotation/014264ff-a2e7-4f68-9d61-032b6fb64760
49411 info:doi/10.1371/annotation/0147e0eb-5986-475e-8c2e-04eca5ca21e5
103 info:doi/10.1371/annotation/014ae9b6-8b03-49bc-82ee-2f0bdc491fe4
105 info:doi/10.1371/annotation/014c5347-056a-410a-8af3-b98a4231d9b6
107 info:doi/10.1371/annotation/014d8876-eaeb-4efa-baf0-2820636d3fb8
82792 info:doi/10.1371/annotation/01567267-e0f6-48b4-9e44-1c3ef919901c
72337 info:doi/10.1371/annotation/0158c194-dec6-481e-84ac-bff6bb95defb
109 info:doi/10.1371/annotation/0159342d-0759-44a7-94f9-0b2c1cc7c8a7
49871 info:doi/10.1371/annotation/015b6179-daef-4db4-ae12-a997882911d1
58495 info:doi/10.1371/annotation/015b956a-ef3f-457d-9cfa-e9ac29bc0fb3
64653 info:doi/10.1371/annotation/015ba32c-4006-42e3-a0c1-ad7cb0567c6a
113 info:doi/10.1371/annotation/01652f91-5ecb-4d61-91a5-bfde088abe9a
115 info:doi/10.1371/annotation/016cd04b-6818-4c37-bcde-9f7bd5ee14f3
119 info:doi/10.1371/annotation/017bdec8-bc15-4633-8f88-4dccb7d5b9cf
61567 info:doi/10.1371/annotation/017cf0ac-e7ab-4037-bb17-ba6be1cde1c8
85501 info:doi/10.1371/annotation/017d2139-4395-40b2-95dc-aad651c0d625
121 info:doi/10.1371/annotation/017e123d-e9d7-4a25-8a52-04cb4f9cf38c
72995 info:doi/10.1371/annotation/0184ccb8-f0bf-4ca0-81f7-2f4174c057ad
88001 info:doi/10.1371/annotation/01852175-43f2-45d4-ad93-6a12f875c69e
123 info:doi/10.1371/annotation/0187d766-19d4-442b-b6da-58d206052b2c
125 info:doi/10.1371/annotation/01883e9d-9d7e-4230-9d6a-71c323ebcf8e
127 info:doi/10.1371/annotation/018a2171-f471-4819-b642-8e8211837369
67011 info:doi/10.1371/annotation/01941be4-fdf4-4d54-9ae4-86da4bf85241
129 info:doi/10.1371/annotation/019871da-ef04-426b-8071-98e4d6e16c54
131 info:doi/10.1371/annotation/019e3eaa-02c1-4906-a4a7-1619e6e73aea
65889 info:doi/10.1371/annotation/01aa4ad5-0279-450e-8421-6051333ab8ce
52667 info:doi/10.1371/annotation/01aadd10-a046-4158-82f8-5e2068aedf59
75515 info:doi/10.1371/annotation/01af379e-de31-4fc0-9106-a2c18c6904b4
51451 info:doi/10.1371/annotation/01b13fe3-2f54-4426-bd3b-930dfbe39b84
133 info:doi/10.1371/annotation/01b2306e-e50c-479e-a548-9712ef8f4d09
88472 info:doi/10.1371/annotation/01b29192-1d04-43c3-b617-e66bf8fdf919
135 info:doi/10.1371/annotation/01b593cf-1f3e-44fb-9e6f-5a858cfdc5a3
49497 info:doi/10.1371/annotation/01bef326-0b1c-4ab7-9c57-283e58b0a6e5
44949 info:doi/10.1371/annotation/01bf3c6e-ba2d-4da2-b815-02ce1d3995e1
137 info:doi/10.1371/annotation/01c044e6-9073-4926-b091-300b34a5a29f
53353 info:doi/10.1371/annotation/01c1f8c5-db6a-439a-bec8-ce54694779cd
139 info:doi/10.1371/annotation/01c8b92b-69a9-41cb-9a9f-5ca2b4a323df
61775 info:doi/10.1371/annotation/01cd9079-60e8-4b5b-9f54-79f31f23df3a
72897 info:doi/10.1371/annotation/01cf6b3c-7c5a-480f-8e80-4d73c8331ae1
141 info:doi/10.1371/annotation/01cfc3e8-0e48-4122-8ccd-9cdf9837d1d9
52337 info:doi/10.1371/annotation/01d0fde1-03ff-43e7-a24c-c67e9ce07644
43405 info:doi/10.1371/annotation/01d385e2-8a3f-4c98-912a-b28c08f30c30
71847 info:doi/10.1371/annotation/01d996a2-87a6-4d8b-a3ae-72e2c7e2ab73
76311 info:doi/10.1371/annotation/01dbf803-ec4c-4618-ab6b-2462dfe98e30
58923 info:doi/10.1371/annotation/01e5a18c-ff2f-4fa4-ad52-4eba289df933
85588 info:doi/10.1371/annotation/01e76782-2f16-40d5-b833-87f09f982c9b
45087 info:doi/10.1371/annotation/01ea93bc-949e-4df6-8e84-ffbbbb397bec
72245 info:doi/10.1371/annotation/01eba64e-5471-4751-9093-e243aca8a651
42917 info:doi/10.1371/annotation/01eec77e-4edb-4fff-aa01-c1633f10fe61
